Lz,Self Energy,Reciprocal Energy,Real Energy,J(M S),Total,Error(cpp),Error(lammps)
73.6,-20308.40449,14957.54641,1145.50189,3326.08935,-879.26685,2729.07636,2728.28135, 
73.7,-20308.40449,14966.12408,1145.50230,3321.57640,-875.20170,2725.01121,2724.21620, 
73.8,-20308.40449,14974.67705,1145.50270,3317.07535,-871.14940,2720.95891,2720.16390, 
73.9,-20308.40449,14983.20104,1145.50306,3312.58682,-867.11357,2716.92308,2716.12807, 
74.0,-20308.40449,14991.69839,1145.50341,3308.11042,-863.09227,2712.90178,2712.10677, 
74.1,-20308.40449,15000.16925,1145.50374,3303.64610,-859.08541,2708.89491,2708.09991, 
74.2,-20308.40449,15008.61374,1145.50404,3299.19381,-855.09290,2704.90241,2704.10740, 
74.3,-20308.40449,15017.03417,1145.50433,3294.75317,-851.11281,2700.92232,2700.12731, 
74.4,-20308.40449,15025.42632,1145.50460,3290.32481,-847.14876,2696.95827,2696.16326, 
74.5,-20308.40449,15033.79250,1145.50485,3285.90833,-843.19880,2693.00831,2692.21330, 
74.6,-20308.40449,15042.13284,1145.50509,3281.50370,-839.26286,2689.07237,2688.27736, 
74.7,-20308.40449,15050.44748,1145.50531,3277.11086,-835.34085,2685.15035,2684.35535, 
74.8,-20308.40449,15058.73869,1145.50552,3272.72942,-831.43085,2681.24036,2680.44535, 
74.9,-20308.40449,15067.00229,1145.50572,3268.36003,-827.53646,2677.34597,2676.55096, 
75.0,-20308.40449,15075.24055,1145.50590,3264.00228,-823.65576,2673.46526,2672.67026, 
75.1,-20308.40449,15083.45362,1145.50608,3259.65614,-819.78866,2669.59817,2668.80316, 
75.2,-20308.40449,15091.64161,1145.50624,3255.32155,-815.93509,2665.74460,2664.94959, 
75.3,-20308.40449,15099.80680,1145.50639,3250.99815,-812.09314,2661.90265,2661.10764, 
75.4,-20308.40449,15107.94501,1145.50653,3246.68655,-808.26639,2658.07590,2657.28089, 
75.5,-20308.40449,15116.05852,1145.50667,3242.38637,-804.45294,2654.26244,2653.46744, 
75.6,-20308.40449,15124.14744,1145.50679,3238.09756,-800.65269,2650.46220,2649.66719, 
75.7,-20308.40449,15132.21190,1145.50691,3233.82009,-796.86559,2646.67510,2645.88009, 
75.8,-20308.40449,15140.25416,1145.50702,3229.55358,-793.08974,2642.89925,2642.10424, 
75.9,-20308.40449,15148.27005,1145.50712,3225.29863,-789.32869,2639.13820,2638.34319, 
76.0,-20308.40449,15156.26183,1145.50721,3221.05488,-785.58056,2635.39007,2634.59506, 
76.1,-20308.40449,15164.22963,1145.50730,3216.82228,-781.84527,2631.65478,2630.85977, 
76.2,-20308.40449,15172.17356,1145.50739,3212.60080,-778.12275,2627.93226,2627.13725, 
76.3,-20308.40449,15180.09585,1145.50746,3208.39005,-774.41112,2624.22063,2623.42562, 
76.4,-20308.40449,15187.99237,1145.50754,3204.19065,-770.71393,2620.52343,2619.72843, 
76.5,-20308.40449,15195.86537,1145.50761,3200.00223,-767.02928,2616.83879,2616.04378, 
