Lz,Self Energy,Reciprocal Energy,Real Energy,J(M S),Total,Error(cpp),Error(lammps)
51.6,-6823.62391,3742.57807,-60.57179,1859.87966,-1281.73797,18.78271,18.92603, 
51.7,-6823.62391,3746.13033,-60.57179,1856.28213,-1281.78324,18.73744,18.88076, 
51.8,-6823.62391,3749.66829,-60.57179,1852.69863,-1281.82878,18.69190,18.83522, 
51.9,-6823.62391,3753.19270,-60.57179,1849.12880,-1281.87420,18.64648,18.78980, 
52.0,-6823.62391,3756.70264,-60.57179,1845.57284,-1281.92022,18.60046,18.74378, 
52.1,-6823.62391,3760.19846,-60.57179,1842.03053,-1281.96672,18.55396,18.69728, 
52.2,-6823.62391,3763.68048,-60.57179,1838.50165,-1282.01356,18.50711,18.65044, 
52.3,-6823.62391,3767.14783,-60.57179,1834.98641,-1282.06146,18.45921,18.60254, 
52.4,-6823.62391,3770.60124,-60.57179,1831.48444,-1282.11002,18.41066,18.55398, 
52.5,-6823.62391,3774.03983,-60.57179,1827.99596,-1282.15992,18.36076,18.50408, 
52.6,-6823.62391,3777.46393,-60.57179,1824.52073,-1282.21104,18.30964,18.45296, 
52.7,-6823.62391,3780.87389,-60.57179,1821.05856,-1282.26324,18.25744,18.40076, 
52.8,-6823.62391,3784.26884,-60.57179,1817.60964,-1282.31722,18.20346,18.34678, 
52.9,-6823.62391,3787.64952,-60.57179,1814.17363,-1282.37255,18.14813,18.29145, 
53.0,-6823.62391,3791.01507,-60.57179,1810.75071,-1282.42992,18.09076,18.23408, 
53.1,-6823.62391,3794.36584,-60.57179,1807.34069,-1282.48918,18.03150,18.17482, 
53.2,-6823.62391,3797.70217,-60.57179,1803.94335,-1282.55018,17.97049,18.11382, 
53.3,-6823.62391,3801.02321,-60.57179,1800.55889,-1282.61360,17.90708,18.05040, 
53.4,-6823.62391,3804.32971,-60.57179,1797.18698,-1282.67901,17.84167,17.98499, 
53.5,-6823.62391,3807.62083,-60.57179,1793.82781,-1282.74706,17.77362,17.91694, 
53.6,-6823.62391,3810.89694,-60.57179,1790.48116,-1282.81760,17.70308,17.84640, 
53.7,-6823.62391,3814.15838,-60.57179,1787.14686,-1282.89046,17.63022,17.77354, 
53.8,-6823.62391,3817.40433,-60.57179,1783.82508,-1282.96629,17.55438,17.69771, 
53.9,-6823.62391,3820.63555,-60.57179,1780.51549,-1283.04466,17.47602,17.61934, 
54.0,-6823.62391,3823.85122,-60.57179,1777.21829,-1283.12619,17.39449,17.53781, 
54.1,-6823.62391,3827.05171,-60.57179,1773.93328,-1283.21071,17.30997,17.45329, 
54.2,-6823.62391,3830.23740,-60.57179,1770.66026,-1283.29804,17.22264,17.36596, 
54.3,-6823.62391,3833.40746,-60.57179,1767.39943,-1283.38881,17.13187,17.27519, 
54.4,-6823.62391,3836.56269,-60.57179,1764.15046,-1283.48256,17.03812,17.18144, 
54.5,-6823.62391,3839.70227,-60.57179,1760.91354,-1283.57989,16.94078,17.08411, 
54.6,-6823.62391,3842.82660,-60.57179,1757.68847,-1283.68063,16.84005,16.98337, 
54.7,-6823.62391,3845.93606,-60.57179,1754.47507,-1283.78458,16.73610,16.87942, 
54.8,-6823.62391,3849.02986,-60.57179,1751.27352,-1283.89232,16.62836,16.77168, 
54.9,-6823.62391,3852.10879,-60.57179,1748.08352,-1284.00339,16.51729,16.66061, 
55.0,-6823.62391,3855.17209,-60.57179,1744.90523,-1284.11838,16.40229,16.54562, 
55.1,-6823.62391,3858.22013,-60.57179,1741.73848,-1284.23709,16.28359,16.42691, 
55.2,-6823.62391,3861.25333,-60.57179,1738.58309,-1284.35928,16.16140,16.30472, 
55.3,-6823.62391,3864.27093,-60.57179,1735.43922,-1284.48555,16.03513,16.17845, 
55.4,-6823.62391,3867.27372,-60.57179,1732.30659,-1284.61540,15.90528,16.04860, 
55.5,-6823.62391,3870.26095,-60.57179,1729.18536,-1284.74939,15.77129,15.91461, 
55.6,-6823.62391,3873.23303,-60.57179,1726.07537,-1284.88730,15.63338,15.77670, 
55.7,-6823.62391,3876.19038,-60.57179,1722.97642,-1285.02890,15.49177,15.63510, 
55.8,-6823.62391,3879.13227,-60.57179,1719.88869,-1285.17474,15.34594,15.48926, 
55.9,-6823.62391,3882.05949,-60.57179,1716.81190,-1285.32431,15.19636,15.33969, 
56.0,-6823.62391,3884.97133,-60.57179,1713.74621,-1285.47816,15.04252,15.18584, 
56.1,-6823.62391,3887.86821,-60.57179,1710.69145,-1285.63604,14.88464,15.02796, 
56.2,-6823.62391,3890.75055,-60.57179,1707.64744,-1285.79771,14.72297,14.86629, 
56.3,-6823.62391,3893.61765,-60.57179,1704.61437,-1285.96368,14.55700,14.70032, 
56.4,-6823.62391,3896.47032,-60.57179,1701.59193,-1286.13344,14.38723,14.53056, 
56.5,-6823.62391,3899.30787,-60.57179,1698.58031,-1286.30752,14.21316,14.35648, 
56.6,-6823.62391,3902.13072,-60.57179,1695.57933,-1286.48565,14.03503,14.17835, 
56.7,-6823.62391,3904.93931,-60.57179,1692.58883,-1286.66756,13.85311,13.99644, 
56.8,-6823.62391,3907.73297,-60.57179,1689.60896,-1286.85377,13.66691,13.81023, 
56.9,-6823.62391,3910.51251,-60.57179,1686.63946,-1287.04373,13.47695,13.62027, 
57.0,-6823.62391,3913.27726,-60.57179,1683.68049,-1287.23795,13.28272,13.42605, 
57.1,-6823.62391,3916.02766,-60.57179,1680.73188,-1287.43616,13.08452,13.22784, 
57.2,-6823.62391,3918.76417,-60.57179,1677.79347,-1287.63807,12.88261,13.02593, 
57.3,-6823.62391,3921.48612,-60.57179,1674.86543,-1287.84416,12.67652,12.81984, 
57.4,-6823.62391,3924.19433,-60.57179,1671.94748,-1288.05390,12.46678,12.61010, 
57.5,-6823.62391,3926.88816,-60.57179,1669.03979,-1288.26776,12.25292,12.39624, 
57.6,-6823.62391,3929.56806,-60.57179,1666.14219,-1288.48545,12.03523,12.17855, 
57.7,-6823.62391,3932.23448,-60.57179,1663.25453,-1288.70669,11.81399,11.95731, 
57.8,-6823.62391,3934.88680,-60.57179,1660.37697,-1288.93193,11.58875,11.73207, 
57.9,-6823.62391,3937.52584,-60.57179,1657.50924,-1289.16062,11.36006,11.50338, 
58.0,-6823.62391,3940.15096,-60.57179,1654.65151,-1289.39323,11.12745,11.27077, 
58.1,-6823.62391,3942.76264,-60.57179,1651.80362,-1289.62944,10.89123,11.03456, 
58.2,-6823.62391,3945.36133,-60.57179,1648.96540,-1289.86897,10.65171,10.79503, 
58.3,-6823.62391,3947.94642,-60.57179,1646.13703,-1290.11225,10.40843,10.55175, 
58.4,-6823.62391,3950.51873,-60.57179,1643.31824,-1290.35873,10.16195,10.30527, 
58.5,-6823.62391,3953.07766,-60.57179,1640.50919,-1290.60885,9.91183,10.05515, 
58.6,-6823.62391,3955.62368,-60.57179,1637.70973,-1290.86229,9.65839,9.80171, 
58.7,-6823.62391,3958.15725,-60.57179,1634.91970,-1291.11875,9.40193,9.54525, 
58.8,-6823.62391,3960.67778,-60.57179,1632.13927,-1291.37865,9.14202,9.28535, 
58.9,-6823.62391,3963.18609,-60.57179,1629.36817,-1291.64144,8.87924,9.02256, 
59.0,-6823.62391,3965.68159,-60.57179,1626.60657,-1291.90754,8.61314,8.75646, 
59.1,-6823.62391,3968.16476,-60.57179,1623.85432,-1292.17662,8.34406,8.48738, 
59.2,-6823.62391,3970.63607,-60.57179,1621.11126,-1292.44838,8.07230,8.21562, 
59.3,-6823.62391,3973.09493,-60.57179,1618.37755,-1292.72322,7.79746,7.94078, 
59.4,-6823.62391,3975.54217,-60.57179,1615.65295,-1293.00058,7.52010,7.66342, 
59.5,-6823.62391,3977.97722,-60.57179,1612.93761,-1293.28087,7.23980,7.38313, 
59.6,-6823.62391,3980.40055,-60.57179,1610.23138,-1293.56378,6.95690,7.10022, 
59.7,-6823.62391,3982.81263,-60.57179,1607.53411,-1293.84896,6.67172,6.81504, 
59.8,-6823.62391,3985.21289,-60.57179,1604.84597,-1294.13684,6.38384,6.52716, 
59.9,-6823.62391,3987.60217,-60.57179,1602.16670,-1294.42683,6.09384,6.23717, 
60.0,-6823.62391,3989.97989,-60.57179,1599.49646,-1294.71935,5.80133,5.94465, 
60.1,-6823.62391,3992.34653,-60.57179,1596.83511,-1295.01406,5.50662,5.64994, 
60.2,-6823.62391,3994.70257,-60.57179,1594.18250,-1295.31063,5.21005,5.35337, 
60.3,-6823.62391,3997.04745,-60.57179,1591.53879,-1295.60947,4.91121,5.05453, 
60.4,-6823.62391,3999.38198,-60.57179,1588.90373,-1295.90999,4.61069,4.75401, 
60.5,-6823.62391,4001.70562,-60.57179,1586.27748,-1296.21260,4.30808,4.45140, 
60.6,-6823.62391,4004.01883,-60.57179,1583.65990,-1296.51697,4.00371,4.14703, 
60.7,-6823.62391,4006.32210,-60.57179,1581.05085,-1296.82275,3.69793,3.84125, 
60.8,-6823.62391,4008.61488,-60.57179,1578.45048,-1297.13035,3.39033,3.53365, 
60.9,-6823.62391,4010.89797,-60.57179,1575.85854,-1297.43919,3.08149,3.22481, 
61.0,-6823.62391,4013.17083,-60.57179,1573.27521,-1297.74967,2.77101,2.91433, 
61.1,-6823.62391,4015.43394,-60.57179,1570.70033,-1298.06144,2.45924,2.60256, 
61.2,-6823.62391,4017.68776,-60.57179,1568.13377,-1298.37418,2.14650,2.28982, 
61.3,-6823.62391,4019.93176,-60.57179,1565.57568,-1298.68827,1.83241,1.97573, 
61.4,-6823.62391,4022.16674,-60.57179,1563.02582,-1299.00315,1.51753,1.66085, 
61.5,-6823.62391,4024.39216,-60.57179,1560.48435,-1299.31919,1.20149,1.34481, 
61.6,-6823.62391,4026.60849,-60.57179,1557.95114,-1299.63607,0.88460,1.02793, 
61.7,-6823.62391,4028.81620,-60.57179,1555.42604,-1299.95347,0.56721,0.71053, 
61.8,-6823.62391,4031.01475,-60.57179,1552.90921,-1300.27175,0.24893,0.39225, 
61.9,-6823.62391,4033.20494,-60.57179,1550.40041,-1300.59036,0.06968,0.07364, 
62.0,-6823.62391,4035.38623,-60.57179,1547.89980,-1300.90967,0.38899,0.24567, 
62.1,-6823.62391,4037.55909,-60.57179,1545.40725,-1301.22936,0.70868,0.56536, 
62.2,-6823.62391,4039.72398,-60.57179,1542.92261,-1301.54911,1.02843,0.88511, 
62.3,-6823.62391,4041.88037,-60.57179,1540.44605,-1301.86928,1.34860,1.20528, 
62.4,-6823.62391,4044.02904,-60.57179,1537.97733,-1302.18933,1.66865,1.52533, 
62.5,-6823.62391,4046.16947,-60.57179,1535.51660,-1302.50963,1.98895,1.84563, 
62.6,-6823.62391,4048.30210,-60.57179,1533.06374,-1302.82986,2.30918,2.16586, 
62.7,-6823.62391,4050.42740,-60.57179,1530.61860,-1303.14969,2.62901,2.48569, 
62.8,-6823.62391,4052.54484,-60.57179,1528.18135,-1303.46951,2.94883,2.80551, 
62.9,-6823.62391,4054.65519,-60.57179,1525.75175,-1303.78876,3.26808,3.12476, 
63.0,-6823.62391,4056.75792,-60.57179,1523.32996,-1304.10782,3.58714,3.44382, 
63.1,-6823.62391,4058.85348,-60.57179,1520.91585,-1304.42638,3.90570,3.76238, 
63.2,-6823.62391,4060.94231,-60.57179,1518.50928,-1304.74411,4.22343,4.08011, 
63.3,-6823.62391,4063.02390,-60.57179,1516.11041,-1305.06139,4.54072,4.39739, 
63.4,-6823.62391,4065.09900,-60.57179,1513.71901,-1305.37769,4.85701,4.71369, 
